34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajendra_nagar2,6.804,6.804,6.804,6.804,13.608,34.020,68.040,85.050,85.050,68.040,34.020,34.020,27.216,27.216,34.020,20.412,27.216,34.020,51.030,51.030,34.020,27.216,20.412,13.608
Rajendra_nagar1,7.920,7.920,7.920,7.920,15.840,39.600,79.200,99.000,99.000,79.200,39.600,39.600,31.680,31.680,39.600,23.760,31.680,39.600,59.400,59.400,39.600,31.680,23.760,15.840
Bademakan,1.980,1.980,1.980,1.980,3.960,9.900,19.800,24.750,24.750,19.800,9.900,9.900,7.920,7.920,9.900,5.940,7.920,9.900,14.850,14.850,9.900,7.920,5.940,3.960
Kesare,2.880,2.880,2.880,2.880,5.760,14.400,28.800,36.000,36.000,28.800,14.400,14.400,11.520,11.520,14.400,8.640,11.520,14.400,21.600,21.600,14.400,11.520,8.640,5.760
Rajiv_nagar_II,3.924,3.924,3.924,3.924,7.848,19.620,39.240,49.050,49.050,39.240,19.620,19.620,15.696,15.696,19.620,11.772,15.696,19.620,29.430,29.430,19.620,15.696,11.772,7.848
Veeranageeri,5.625,5.625,5.625,5.625,11.250,28.125,56.250,70.312,70.312,56.250,28.125,28.125,22.500,22.500,28.125,16.875,22.500,28.125,42.188,42.188,28.125,22.500,16.875,11.250
NR_mohalla2,2.880,2.880,2.880,2.880,5.760,14.400,28.800,36.000,36.000,28.800,14.400,14.400,11.520,11.520,14.400,8.640,11.520,14.400,21.600,21.600,14.400,11.520,8.640,5.760
NR_Mohalla1,11.394,11.394,11.394,11.394,22.788,56.970,113.940,142.425,142.425,113.940,56.970,56.970,45.576,45.576,56.970,34.182,45.576,56.970,85.455,85.455,56.970,45.576,34.182,22.788
Rajiv_Nagar_I,15.966,15.966,15.966,15.966,31.932,79.830,159.660,199.575,199.575,159.660,79.830,79.830,63.864,63.864,79.830,47.898,63.864,79.830,119.745,119.745,79.830,63.864,47.898,31.932
Tippu_Park,7.500,7.500,7.500,7.500,15.000,37.500,75.000,93.750,93.750,75.000,37.500,37.500,30.000,30.000,37.500,22.500,30.000,37.500,56.250,56.250,37.500,30.000,22.500,15.000


